image,item_id,Question,Final Answer,Reasoning,Option a,Option b,Option c,Option d,Language,Question Level,Domain,Subject Domain
english/10.jpg,10,"The number of students in Section-Ill of 4th year class
 in College D is _% of the total number students in
 College A.",c,"From the Table, Total No. of students in College
 A = 450
 No. of students in Section III of 4h Year of
 College D = 20% of 180 = 36
 Thus, required p e r c e n t a g e = 36 / 4 5 0 X 1 0 0 = 8.",5,6,8,10,english,moderate,Basic Statistics,
english/11.jpg,11,"If 20% of the students in College A move to College D
 and are equally distributed in each class, then what is
 the number of students in Section-II of College E's 3rd
 year class?",d,"All colleges work independently, so any such
 movement of students will alter the students of
 A and D only, and will not have any impact on E.",36,45,72,cannot be determined,english,moderate,Basic Statistics,
english/12.jpg,12,What is the difference between the number of students in College C and in Section-IlI across all classes in College D?,a,"The total number of students in Sections III of
 all classes =   35 + 25 + 25 + 20 + 35 % of 180
 = 140% of 180 = 252
 The number of students in College C = 1080
   given  Thus, the difference = 1080 - 252 = 828",828,830,838,756,english,moderate,Basic Statistics,
english/13.jpg,13,"For which of the following years, the percentage rise/
 fall in production from the previous year is the maxi-
 mum for Company Y?",a,"Percentage change   rise/fall  in the production of Company Y in comparison to the previous year for different years is:
 For 2017 =[    35-25 /25  x100]% = 40%
 For 2018 = [    35-35 /35  x100]% = 0%
 For 2019 = [    40 - 35 /35 X100]%=14.29%
 For 2020 = [    50-40 /40 x100] % = 25%",2017,2018,2019,2020,english,moderate,Financial Math,
english/14.jpg,14,"What is the ratio of the average production of Com-
 pany X over the period 2018-20 to the average pro-
 duction of Company Y over the same period?",c,"Average production of Company X over the
 period 2018-20
 = [1/3 x   25+50+40 ] =   115/3  lakhs tons. Average production of Company X over the
 period 2018-20
 = [1/3 x   35+50+40 ] =   125/3  lakhs tons. thus the required =   115/3  /  125/3  = 23:25",1:01,15:17,23:25,27:29:00,english,moderate,Financial Math,
english/15.jpg,15,The average production for 5 years was maximum for which company,nan,"Average production   in lakh tons  in 5 years
 for the three companies is:
 For Company X
 [ 1/3 x   30+45+25+50+40 ]= 190/5 = 38
 For Company Y
 [ 1/3 x   25+35+355+40+50 ]= 180/5 = 37
 For Company Z
 [ 1/3 x   35+40+45+35+35 ]= 190/5 = 38
 Thus, average production of five 5 is maximum
 for both the Companies X and Z",X,Y,Z,both X and Z,english,moderate,Financial Math,
english/16.jpg,16,"In which year was the percentage of production
 of Company Z to the production of Company Y the maximum?",a,"The percentages of production of Company
 Z to the production of Company Z for various
 years are: For 2016 =    35/25 x 100   % = 140%
 For 2017 =   40/35 x 100 % = 114.29%
 For 2018 =   45/35 x 100 % = 128.57%
 For 2019 =   35/40 X 100 % = 87.5%
 For 2020 =   35/50 x 100 % = 70%",2016,2017,2018,2019,english,moderate,Financial Math,
english/17.jpg,17,"What is the percentage increase in the production of
 Company Y from 2016 to 2019?",d,"Percentage increase in the production of
 Company Y from 2016 to 2019: =     40-25 / 25  x100% = 60%",30%,45%,50%,60%,english,moderate,Financial Math,
english/18.jpg,18,"What is the total number of items of type C produced
 in the year 2020 and 2021 together?",b,"The No. of items of C type produced in 2020 and
 2021 = 17% of 48600 + 8% of 62500
 = 8262 + 5000 = 13262",12482,13262,14786,15200,english,moderate,Financial Math,
english/19.jpg,19,"The number of items of type B produced in 2020 is
 approximately _ % of the number of items of type B
 produced in 2021.",d,": Number of type B items produced in 2020 =
 18% of 48600 = 8748. Number of type B items produced in 2021 = 15% of 62500 = 9375
 As comparison is with 2021, that will be taken as base.
 Thus, desired answer = 9375 8748 X 100 = 93.31 =
 approx 93%",84,87,90,93,english,moderate,Financial Math,
english/20.jpg,20,What is the ratio of the number of items of type D produced in 2020 to the number of items of type F produced in 2021?,c,"Items of D Type in 2020
 Items of F Type in 2021
 20% of 48600 = 9720 24% of 62500 = 15000
 972 : 1500
 324 : 500
 81 : 125",13:17,83 : 116,81 : 125,103 : 147,english,moderate,Financial Math,
english/21.jpg,21,"What is the total number of items of type A, B and C
 produced by the company in 2020 and 2021 together?",a,"Total Number of items by Company A, B and C in 2020
 =   17 + 18 + 17 % of 48600 +   18 + 15 + 8 % of 62500
 = 52% of 48600 + 41% of 62500 = 25272 + 25625 = 50897",50894,51164,52324,48542,english,moderate,Financial Math,
english/22.jpg,22,"The number of items of type E produced in the year
 2021 is__% more than the number of items of type C produced in 2021.",d,"Note that we don't need to do calculation with
 62500, that is total of production of 2021.
 The total is to assumed to be 100, and calcula-
 tions to be done accordingly.
 As they belong to the same year 2021, the %age
 difference between E and C = 18 - 8 = 10
 No. of items of type C in 2021 = 8
 As the comparison is with C, that will be taken
 as the base.
 Thus, required answer =   10/8  x 100 = 125%",105,75,60,125,english,moderate,Financial Math,
english/23.jpg,23,"How many companies have shown production below
 their average production in 2012-2013, but have
 showed above the average production in 2013-14?",c,"Average sales of company:
 Honda =   6 + 14 + 21  = 13.66
 GM =   12 + 18 + 18  = 16
 Maruti =   5 + 9 + 15  = 9.66 
 Hindustan Morors =   16 + 9 + 12  = 12.33 
 Hyundai=8+ 14+72=9.66",one,two,three,four,english,moderate,Financial Math,
english/24.jpg,24,"The ratio of Hindustan Motors production in 2013-
 2014 to Honda's production in 2012-2013 is",b,The required ratio is   9/6  = 1.5.,0.66,1.5,2,None of these,english,moderate,Financial Math,
english/25.jpg,25,For how many companies has there been no decrease in production in any year from the previous year?,c,"By visual inspection, we can say that Honda,
 GM and Maruti have not shown a decrease.",one,two,three,four,english,moderate,Financial Math,
english/26.jpg,26,Which of the following companies has shown consistent growth during the period?,d,"By simple observation, we can say that   d  is
 the right answer.",Maruti,Honda,Hindustan Motars,Both a and c,english,moderate,Financial Math,
english/27.jpg,27,"Which of the following companies have shown high-
 est and lowest growth rates?",b,"By simple observation, we can say that   b  is
 the right answer.",Honda and Hundai,Honda and Maruti,GM and Hundai,GM and Maruti,english,moderate,Financial Math,
english/28.jpg,28,What is the average of marks obtained by Aman for all subjects?,b,Average marks =   100 + 80 + 80 + 70 + 80 + 40 /6 = 75,72,75,80,85,english,moderate,Basic Statistics,
english/29.jpg,29,"What is the approximate percentage of marks
 obtained by Ayush?",a,Percentage marks = [  90 + 50 + 90+60+70 + 80 /  150 + 130 + 120 + 100 + 100 + 100 ]x100 = 62.8%,62.8,72.5,75,74,english,moderate,Basic Statistics,
english/30.jpg,30,What is the average of marks obtained by all candidates in Physics?,b,Average marks in Physics =  90+80+70+80+85+65+50 /7 =74.28,62.85,74.28,78.52,None of these,english,moderate,Basic Statistics,
english/31.jpg,31,Who among the following has obtained the highest aggregate marks?,d,"Aggregate marks: Ayush, 440; Aman, 450;
 Sajal, 450; and Muskan, 465",Ayush,Aman,Sajal,Muskan,english,moderate,Basic Statistics,
english/32.jpg,32,"Who among the following has secured the highest
 percentage marks in Physics, Chemistry and Maths?",b,"As the denominator is same for the calculation of percentage of marks in all the cases, there is no need to calculate the percentage figures. Simply, the aggregate marks of three subects will provide the answer:
 Ayush, 230; Aman, 260; Rohit, 225; and
 Muskan, 230.",Ayush,Aman,Rohit,Muskan,english,moderate,Basic Statistics,
english/33.jpg,33,"What is the percentage of candidates who qualifted
 during 2007 for all states combined?",c,Percentage of candidates qualified = 5820 = [  780 + 750 + 960 + 850 + 1560 /5200 + 7500 + 6400 + 8100 + 7800] x 100 = 14%,12.00%,14.00%,15.00%,None of these,english,moderate,Basic Statistics,
english/34.jpg,34,"What is the average percentage of candidates who
 qualified from State M for all the years?",c,"Percentage of candidates qualified =
   Number of candidates qualified/ Number of candidates appeared  X100
 = [  780 + 1170 + 1200 + 1320 + 1350  /  5200 + 7800 + 8000 + 8800 + 9000 ]x100 = 15%
 If we look at all the figures for individual years, we can see that the result has been consistent at 15% for all these years.",12%,14%,15%,16%,english,moderate,Basic Statistics,
english/35.jpg,35,"What is the average number of candidates who
 appeared from State Q during the given years?",b,"Average number of candidates appeared
   8100 + 9000 + 9200 + 10,000+10,000 /5=9,260",8660,9260,9560,9660,english,moderate,Basic Statistics,
english/36.jpg,36,What is the average number of candidates who qualified from the State N during the given years?,b,Average =   750+850 +860+920 + 880  /5=852,702,852,762,902,english,moderate,Basic Statistics,
english/37.jpg,37,What is the percentage increase in candidates who appeared between 2007 and 2011?,b,"Total number of candidates in 2007
 = 35,000   as calculated in Question 25 
 Total number of candidates in 2011
 = 9000 + 8800 + 10,000 + 10,000 + 11,200
 = 49,000
 Increase = 49,000 - 35,000 = 14,000
 Percentage increase = 14,000/35,000 X 100=40 %",35.00%,40.00%,45.00%,50.00%,english,moderate,Basic Statistics,
english/38.jpg,38,"In rural areas, which of the following sizes of the
 households is the highest in number?",d,"From the graph, we see that the line for
 rural peaks at about 4-5.
 Hence, the best answer is 4.",15,2,3,4,english,easy,Basic Statistics,
english/39.jpg,39,"In urban areas, among the households of different
 sizes, what is the percentage of households of size 5
 or less?",b,"Explanation: The total n u m b e r of households â€šÃ¢Â§5 is
 17 + 14 + 12 + 15 + 14 = 72.",13,72,36,87,english,easy,Basic Statistics,
english/40.jpg,40,"In rural areas, per 100 households, there were 31
 households of size",c,Total up the values for rural area for the size 3 or less to get the answer,3 or above,"3, 4 and 5",3 or less,4 or less,english,easy,Basic Statistics,
english/41.jpg,41,"As the urban population of towns increases, the average household size",d,"As the population size increases, we see
 that household sizes are 4.75, 4.50 and 4.70. Hence,
 the values are fluctuating.",increse,decresse,remains constants,Fluctuates,english,easy,Basic Statistics,
english/42.jpg,42,"Which of the following statements is true?
   a  On the average, there are more persons per family
 in urban areas than in rural areas.
   b  In rural areas. 350 of the households are of that
 size 7 and above.
   c  In urban areas, the average size of the household
 is the least for towns.
   d  In urban areas, there are 460 persons on an average per 100 households.",b,Only statement   b  can be inferred from the given graphs.,"On the average, there are more persons per family
 in urban areas than in rural areas.",In rural areas. 350 of the households are of that size 7 and above.,"In urban areas, the average size of the household
 is the least for towns","In urban areas, there are 460 persons on an average per 100 households.",english,easy,Basic Statistics,
english/43.jpg,43,"What is the average profit earned by the company
 over the years?",c,"Total profit earned over 5 years =   25 + 35 +
 22.5 + 30 + 37.5  = 150 lakhs
 Average profit = 150/5 = Rs. 30 lakhs",Rs. 26 lakhs,Rs. 28 lakhs,Rs. 30 lakhs,Rs. 32 lakhs,english,moderate,Financial Math,
english/44.jpg,44,"If the expenditure of the company in 2009 was
 Rs. 28 lakhs, then what was the revenue of the company
 in that year?",a,"Revenue in 2009 = Profit + Expenditure
 = 65.5 lakhs",Rs. 65.5 lakhs,Rs. 72.5 lakhs,Rs. 75 lakhs,None of these,english,moderate,Financial Math,
english/45.jpg,45,"What is the approximate percentage increase in the
 profit of the company in 2008 in comparison to the
 previous year?",b,"Ans:   b  Percentage increase =   30 - 23 /23 X 100
 = 30.43 ~ 30%",28,30,36,40,english,moderate,Financial Math,
english/46.jpg,46,"What is the ratio of profit earned by the company in
 2005 to the profit earned in 2009?",b,The required ratio = 25: 37.5 = 2: 3,1:03,2:03,3:05,1:02,english,moderate,Financial Math,
english/47.jpg,47,"If the revenue of the company in 2007 was RS. 45 lakhs,
 then what was the expenditure of the company in
 that year?",b,"Expenditure in 2007 = 45 - 22.5 = Rs. 22.5
 lakhs",Rs. 20.5 lakhs,Rs. 22.5 lakhs,Rs. 24.5 lakhs,Rs. 25.5 lakhs,english,moderate,Financial Math,
english/48.jpg,48,What would be the gross profit?,d,"Net Purchases

Purchases 2,55,000 − Returns 13,250 = 2,41,750

Trading A/c includes these direct items:

Opening stock = 2,00,000

Net purchases = 2,41,750

Wages = 1,00,000

Carriage = 5,000

Coal & coke = 25,000

Gas & water = 1,500   treated as direct 

Factory lighting = 2,500

Total Trading debit
= 2,00,000 + 2,41,750 + 1,00,000 + 5,000 + 25,000 + 1,500 + 2,500
= ₹5,75,750

Trading Credit

Net sales = 5,75,000 − 10,000 = ₹5,65,000
Closing stock = ₹3,00,000

Total = 5,65,000 + 3,00,000 = ₹8,65,000

Gross Profit

Gross Profit = 8,65,000 − 5,75,750 = ₹2,89,250 ✅

Net Profit   matches the solution 

Gross Profit = ₹2,89,250

Less P&L expenses   as per solution :

Salaries 30,000

Rent, rates & taxes 12,000

Printing & stationery 2,250

Depreciation 3,020

Repairs 6,000

Export duty 9,000   kept in P&L in key 

Discount allowed 12,505

Bad debts 9,000

Advertisement 2,500

General expenses 4,000

Total = ₹90,275

 Net Profit = 2,89,250 − 90,275 = ₹1,98,975 
Hence

 Gross Profit = ₹2,89,250
 Net Profit = ₹1,98,975","89,250","2,89,000","1,89,250","2,89,250",english,moderate,Financial Math,
english/49.jpg,49,"What is the difference between the total production of
 the two companies in the given years?",c,"Total production of Company X from 2007
 to 2012   in thousands  = 119 + 99 + 141 + 78 +
 120 + 159 = 716
 Total production of Company Y from 2007 to
 2012   in thousands  = 139 + 120 + 100 + 128 +
 107 + 148 = 742
 Difference =   742 - 716  thousands = 26,000","19,000","22,000","26,000","28,000",english,moderate,Financial Math,
english/50.jpg,50,What would be the total credit?,b,"Given Data   Year ending 31 March 2024 
Opening Stock   1-4-2023 

₹2,40,000

Purchases

Cash purchases = ₹2,08,000

Credit purchases = ₹6,08,000

Total Purchases = ₹8,16,000

Less: Purchase returns = ₹8,000
➡️ Net Purchases = ₹8,08,000

Sales

Cash sales = ₹3,50,000

Credit sales = ₹6,00,000

Total Sales = ₹9,50,000

Less: Sales returns = ₹10,000
➡️ Net Sales = ₹9,40,000

Direct Expenses

Freight = ₹10,000

Carriage = ₹2,000

Import duty = ₹8,000

Clearing charges = ₹12,000

➡️ Total Direct Expenses = ₹32,000

Adjustments   Important 

Goods distributed as free samples   ₹5,000 
→ Treated as sales promotion, NOT included in Trading A/c
→ Deducted from purchases.

Goods withdrawn for personal use   ₹2,000 
→ Drawings, reduce purchases.

Stock damaged by fire   ₹13,000 
→ Abnormal loss, credited to Trading A/c at cost.

Closing Stock   31-3-2024 

Cost = ₹1,20,000

Market value = ₹1,50,000
→ As per conservatism, take lower value
➡️ Closing Stock = ₹1,20,000

Adjusted Purchases

Net Purchases ₹8,08,000
Less:

Free samples ₹5,000

Drawings ₹2,000

➡️ Adjusted Purchases = ₹8,01,000

Trading Account Calculation
Debit Side

Opening Stock = ₹2,40,000

Purchases   adjusted  = ₹8,01,000

Direct Expenses = ₹32,000

➡️ Total Debit = ₹10,73,000

Credit Side

Net Sales = ₹9,40,000

Closing Stock = ₹1,20,000

Abnormal loss   fire  = ₹13,000

➡️ Total Credit = ₹10,73,000","20,73,000","10,73,000","10,7,000","20,83,000",english,moderate,Financial Math,
english/51.jpg,51,"In which of the following years was the diference
 between the productions of Companies X and Y the
 maximum?",d,"The differences between the productions of
 Companies X and Y in various years are as fol
 lows   all figures in thousands :
 For 2007   139 - 119  = 20
 For 2008   120 X 99  = 21
 For 2009   141 - 100  = 41
 For 2010   128 - 78  = 50
 For 2011   120 - 107  = 13
 For 2012   159 - 148  = 11
 Hence, the maximum difference was in 2010",2007,2008,2009,2010,english,moderate,Financial Math,
english/52.jpg,52,The production of Company Y in 2010 was approximately what percentage of the production of Company X in the same year?,b,"As the comparison is with Company X, its
 production figure will appear as denominator.
 Required percentage =   1,28,000/78,000  x
 100 = 164%",173,164,132,97,english,moderate,Financial Math,
english/53.jpg,53,"If total expenditure during a year is 765 lakhs, then
 what are the expenses on cultural events   in lakhs ?",c,5% of Rs. 65 lakhs = Rs. 3.25 lakhs,1.67,2.65,3.25,4.25,english,moderate,Financial Math,
english/54.jpg,54,"What is the approximate angle extended by staff sala-
 ries at the centre   in degrees ?",b,Angle extended by staff salaries at the centre = 38 X 3.6 = 137Â¬âˆž,132,137,142,145,english,moderate,Financial Math,
english/55.jpg,55,"The total of which of the following heads is equal to
 salary expenses?",b,Maintenance + transportation + sports = 38%,"Miscellaneous, transportation and cultural events","Maintenance, transportation and sports","Maintenance, publicity and miscellaneous",None of the above,english,moderate,Financial Math,
english/56.jpg,56,"If the teachers' salaries are increased by 20%, then
 what will be the new angle extended at the centre   in
 degrees ?",d,"No separate data is given for teachers' sal-
 ary. Hence, it cannot be determined. So, new
 angle extended may not be determined.",45.6,43.6,56,Cannot be determined,english,moderate,Basic Statistics,
english/57.jpg,57,"What is the angle extended at the centre by a combination of miscellaneous and cultural events expenses
 at the centre   in degrees ?",nan,"Total of miscelleneous and cultural percentages = 15 + 5 = 20%. Hence, angle extended
 by them at the centre = 20 / 100x 360 = 72Â¬âˆž.",65,72,78,84,english,moderate,Basic Statistics,
