item_id,Question,Final Answer,Reasoning,Option a,Option b,Option c,Option d,Language,Subdomain,Type,Domain
33,The following account has a credit balance,b,Plant   Asset  = Debit.Purchase   Expense  = Debit.Loan   Liability  = Credit,Plant and Equipment A/c,Loans A/c,Purchase A/c,None of the above,english,Core Accountancy,moderate,
34,"From the following details estimate the capital as on 31.03. Capital as on 01.04.2016 - `4,10, Drawings `40,000, Profit during the year ` 50,000",c,"Closing Capital = Opening Capital + Profit - Drawings. 4,10,000 + 50,000 - 40,000 = 4,20,000","`4,10,000","`4,50,000","`4,20,000","`4,00,000 The Institute of Cost Accountants of India 5 P-5: Financial Accounting - Bit Questions",english,Core Accountancy,hard,
35,"A and B purchased a piece of land for ` 30,000 and sold it for `60,000 in Originally A had contributed `12,000 and B `8,.The profit on venture will be",a,"Profit = Sale Price - Cost Price. 60,000 - 30,000 = 30,000","`30,000","`20,000","`60,000",Nil,english,Core Accountancy,hard,
36,"AB Ltd. has signed at 31st December, 2017 the Balance Sheet date, a contract where the Total Revenue is estimated at ` 15 Crores and Total Cost is estimated at ` 20 Crores. No work began on the contract. Is the Contractor required to give any accounting effect for the year ended 31st December, 2017?",a,"Under AS-7   Construction Contracts  and the Prudence concept, if Total Cost    20 Cr  exceeds Total Revenue    15 Cr , the entire anticipated loss   ` 5 Cr  must be recognized immediately, even if work hasn't started.",Recognize expected loss of `5 Crores,Recognize `15 Crores as Profit,No entry,None of the above,english,Core Accountancy,hard,
37,Which of the following item does not match with receipts and payments account?,c,"This statement is False. The Receipts and Payments account records all cash transactions, whether they are Capital   e.g., sale of building  or Revenue   e.g., rent paid  in nature.",It is a summarized cash book,Transactions are recorded in it on cash basis,It records revenue transactions only,It serves the purpose of a real account,english,Core Accountancy,moderate,
38,Which of the following is/ are the basic features of a Joint Venture,d,"JVs are temporary, profit-sharing partnerships where capital contribution is flexible, and the entity dissolves after the goal is achieved.",The profit or loss on joint venture is shared between the co-venturers in the agreed ratio,The co-venturers may or may not contribute initial capital,The JV is dissolved once the purpose of the business is over,All of the above,english,Core Accountancy,moderate,
39,Excess of hire purchase price over cash price is known as,c,The difference between the higher Hire Purchase price and the lower Cash Price is the Interest charged for the delayed payment.,Installment,Cash down payment,Interest,Capital value of asset,english,Core Accountancy,moderate,
40,Which of the following is/are revenue expenditure?,d,"Consumables, legal fees, and rent are all recurring expenses incurred to maintain daily business operations, making them Revenue Expenditures.",Consumable Stores,Taxes and legal expenses,Rent of factory building,All of Above,english,Core Accountancy,moderate,
41,AS-9 is related to,a,"AS-9 is the standard titled ""Revenue Recognition.""   AS-3 is Cash Flow, AS-10 is Property, Plant & Equipment .",Revenue Recognition,Cash Flow Statement,Accounting for Fixed Assets,Disclosure of Accounting policies,english,Core Accountancy,moderate,
42,The person to whom bill is endorsed is known as __________.,a,Endorser: The person transferring the bill. Endorsee: The person receiving the bill.,Endorsee,Drawee,Drawer,None of the above,english,Core Accountancy,easy,
43,Which of the following is/are feature/features of Income and Expenditure Account?,d,"It is a Nominal account, it ignores capital items   Balance Sheet items , and it records gains like profit on the sale of assets.",It follows Nominal Account,All Capital incomes and expenditures are excluded The Institute of Cost Accountants of India 6 P-5: Financial Accounting - Bit Questions,Profit on sale of asset is credited,All of the above,english,Core Accountancy,moderate,
44,The debts which are not bad is known as,a,Debts that are fully recoverable and not suspected to default are technically referred to as Good Debts.,Good debt,Bad Debt,Doubtful Debt,None of the above,english,Core Accountancy,moderate,
45,A transaction without immediate cash settlement is known as,b,A transaction where goods are exchanged but cash is paid at a later date is a Credit Transaction.,Cash Transaction;,Credit Transaction;,Deferred Transaction;,None of the above.,english,Core Accountancy,moderate,
46,"_________ liabilities represent proprietor’s equity, i.e. all thoseamount which are entitled to the proprietor",c,"According to the Business Entity Concept, the business is separate from the owner. Capital is the amount the business ""owes"" back to the owner, making it an Internal Liability.",External;,Debenture;,Internal;,None of the above.,english,Core Accountancy,easy,
47,"Goods are transferred from Department X to Department Y at a price so as to include a profit of 33.33% on cost. If the value of closing stock of Department Y is ` 48,000, then the amount of stock reserve on closing stock will be",a,"Profit is 33.33% on Cost => 1/3 on Cost. 1/3 on Cost is equal to 1/4 on Selling Price   Invoice Price .Closing Stock   at Invoice Price  = 48,000 .Stock Reserve =  48,000 X  1/4  = 12,000 .","`12,000","`9,000","`18,000",None of the above,english,Core Accountancy,hard,
48,What is a Sole Proprietorship?,c,"A sole proprietorship is a form of business organization that is owned, managed, and controlled by a single individual. The owner bears all the profits as well as all the risks and liabilities of the business.",Business owned by president,Business owned by several companies,Business owned by one person,Business owned by a company,english,B.Com,moderate,Partnership Accounts
49,Which of the following is owned by a single person,d,"A sole proprietorship is owned, managed, and controlled by one individual.",Private Company,Public Company,Joint Hindu Family,Sole Proprietorship,english,B.Com,moderate,Partnership Accounts
50,Sole proprietorship business can be started by,b,Only one individual is required to start and operate a sole proprietorship.,at least seven persons,any one person,at least two persons,at least three persons,english,B.Com,moderate,Partnership Accounts
51,A sole proprietor has a limit in which of the following ability,a,One person cannot efficiently manage very large operations alone.,Managerial,Owner,Worker,None of these,english,B.Com,moderate,Partnership Accounts
52,Sole Proprietorship is most suitable for,c,"Due to limited capital, managerial ability, and resources.",Medium scale concerns,Large scale concerns,Small scale concerns,None of the above,english,B.Com,moderate,Partnership Accounts
53,The life of sole proprietorship business is,c,"It depends on the life, health, and decisions of a single owner.",Stable,Very short life,Unstable,Long life,english,B.Com,moderate,Partnership Accounts
54,"In which form of business, there is no need to share profits.",b,The sole owner enjoys the entire profit alone.,Company,Sole proprietorship,Partnership,Joint Hindu family business,english,B.Com,moderate,Partnership Accounts
55,A Sole proprietor concern is free from regulation by.,b,"Compared to companies, sole proprietorships face minimal government control.",Indian Contract Act,Government,Private Indian,Indian Law,english,B.Com,moderate,Partnership Accounts
56,The reason for the end of the sole proprietorship can be,d,"Insolvency, insanity, or death of the owner can dissolve the business.",Insolvency,Insanity,Death,All the above,english,B.Com,moderate,Partnership Accounts
57,Sole proprietorship business owner has,c,The owner’s personal assets are also liable for business debts.,Restricted Liability,No Liability,Unlimited Liability,Limited Liability,english,B.Com,moderate,Partnership Accounts
58,A company is formed by,c,Promoters take the initiative to form and register a company.,Government,Directors,Promoters,Owners,english,B.Com,moderate,Partnership Accounts
59,The word limited should appear after the name of,b,It indicates limited liability of shareholders.,Partnership,Registered company,Statutory company,Chartered company,english,B.Com,moderate,Partnership Accounts
60,Deferred shares are generally issued to:,a,It indicates limited liability of shareholders.,Promoters,Government,General Public,Managing agents,english,B.Com,moderate,Partnership Accounts
61,The minimum members in public limited company are:,d,Promoters are rewarded with deferred shares for their efforts.,4,2,8,7,english,B.Com,moderate,Partnership Accounts
62,Share premium is shown in the balance sheet as an:,b,"As per Companies Act, minimum 7 members are required.",Deducted from the asset side.,Liability,Deduction in paid up capital,Asset,english,B.Com,moderate,Partnership Accounts
63,Share premium money can be used for:,a,Permitted use under Companies Act.,Issue of fully paid bonus shares,Payment of debentures,Payment of dividend,Writing of good will,english,B.Com,moderate,Partnership Accounts
64,Debenture can be issued at:,d,"Debentures may be issued at par, premium, or discount.",At discount,At premium,At par,All of the above,english,B.Com,moderate,Partnership Accounts
65,How many members have to sign a memorandum of association in case of a private company?,c,Minimum two subscribers are required for a private company.,Five,Seven,Two,Ten,english,B.Com,moderate,Partnership Accounts
66,The official signature of a company is called:,d,The common seal represents the legal signature of a company on official documents.,Prospectus,Debentures,Shares,Common seal,english,B.Com,moderate,Partnership Accounts
67,The company is managed by the group of persons known as:,a,Directors are elected to manage and control company affairs.,Board of directors,Group of member,Team of shareholders,None of the above,english,B.Com,moderate,Partnership Accounts
68,Trade between two countries can be useful if cost ratios of goods are:,d,International trade is beneficial when countries have different comparative costs.,Undetermined,Decreasing,Equal,Different,english,B.Com,moderate,Partnership Accounts
69,The term Euro Currency market refers to,b,Eurocurrency refers to deposits and loans of a currency outside its home country.,The international foreign exchange market,The market where the borrowing and lending of currencies take place outside the country of issue,The countries which have adopted Euro as their currency,The market in which Euro is exchanged for other currencies,english,B.Com,moderate,Partnership Accounts
70,Which of the following theories suggests that firms seek to penetrate new markets over time?,b,This theory explains how firms expand internationally as products mature.,Imperfect Market Theory,Product cycle theory,Theory of Comparative Advantage,None of the above,english,B.Com,moderate,Partnership Accounts
71,Dumping refers to:,b,Dumping involves selling goods in foreign markets at unfairly low prices.,Reducing tariffs,"Sale of goods abroad at low a price, below their cost and price in home market",Buying goods at low prices abroad and selling at higher prices locally,Expensive goods selling for low prices,english,B.Com,moderate,Partnership Accounts
72,International trade and domestic trade differ because of:,d,"International trade involves different policies, factor immobility, and restrictions.",Different government policies,Immobility of factors,Trade restrictions,All of the above,english,B.Com,moderate,Partnership Accounts
73,The margin for a currency future should be maintained with the clearing house by,d,Futures contracts require margin from both parties to ensure performance.,The seller,The buyer,Either the buyer or the seller as per the agreement between them,Both the buyer and the seller,english,B.Com,moderate,Partnership Accounts
74,The following statement with respect to currency option is wrong,d,"Exporters generally use put options to hedge receivables, not call options.",Foreign currency- Rupee option is available in India,An American option can be executed on any day during its currency,Put option gives the buyer the right to sell the foreign currency,Call option will be used by exporters,english,B.Com,moderate,Partnership Accounts
75,Govt. policy about exports and imports is called:,a,Export–import policy is also known as commercial   or trade  policy.,Commercial policy,Fiscal policy,Monetary policy,Finance policy,english,B.Com,moderate,Partnership Accounts
76,Which of the following is international trade:,a,International trade occurs across national boundaries.,Trade between countries,Trade between regions,Trade between provinces,Both   b  and   c ,english,B.Com,moderate,Partnership Accounts
77,Market in which currencies buy and sell and their prices settle on is called the,c,Forex market determines exchange rates of currencies.,International bond market,International capital market,Foreign exchange market,Eurocurrency market,english,B.Com,moderate,Partnership Accounts
78,Moving along an indifference curve the:,d,All points on the same indifference curve give equal satisfaction.,Consumers prefer some of the consumption points to others.,Marginal rate of substitution for a good increase as more of the good is consumed.,Marginal rate of substitution is constant.,Consumers do not prefer one consumption point to another.,english,B.Com,moderate,Partnership Accounts
79,The slope of the indifference curve is equal to which of the following?,c,The slope represents the rate at which one good is substituted for another.,One,Marginal utility,Marginal rate of substitution,None of these,english,B.Com,moderate,Partnership Accounts
80,Why is the indifference curve convex to origin?,d,Convexity is due to diminishing marginal rate of substitution and diminishing marginal utility.,Due to continuous decline of marginal rate of substitution,Due to law of diminishing marginal utility,Due to monotonic preferences,Both a and b,english,B.Com,moderate,Partnership Accounts
81,Which of the following is not the property of indifference curves?,c,"Indifference curves are convex, not concave.","Higher the indifference curves, higher is the level of satisfaction.",Indifference curve is downward sloping.,Indifference curve is concave to origin.,Two indifference curves cannot intersect each other.,english,B.Com,moderate,Partnership Accounts
82,Hicks and Allen believed that utility:,b,They supported ordinal utility analysis.,Can be measured in cardinal numbers,Can be measured in ordinal numbers,Cannot be measured,Cannot be expressed,english,B.Com,moderate,Partnership Accounts
83,"As we move down the indifference curve from left to right, the slope of the indifference curve tends to which of the following?",c,Marginal rate of substitution diminishes.,Unity,Zero,Decline,Rise,english,B.Com,moderate,Partnership Accounts
84,"In the indifference map, a higher IC indicates which of the following?",b,Higher indifference curves represent higher utility.,Lower level of satisfaction,Higher level of satisfaction,Same level of satisfaction,Either higher or same level of satisfaction,english,B.Com,moderate,Partnership Accounts
85,Two indifference curves cannot cut each other because of which of the following?,c,"Intersection would imply one combination gives two different satisfaction levels, which is impossible.",They represent those combinations of two goods that give the same satisfaction.,The slope is downwards.,Each indifference curve represents a different level of satisfaction.,They are convex to origin.,english,B.Com,moderate,Partnership Accounts
86,An indifference curve is related to which of the following?,a,It shows consumer preferences between combinations of goods.,Choices and preferences of consumer,Prices of goods X and Y,Consumer’s income,Total utility from goods X and Y,english,B.Com,moderate,Partnership Accounts
87,An Indifference curve slope down towards right since more of one commodity and less of another result in which of the following?,d,"Along an IC, utility remains constant.",Decreasing expenditure,Maximum satisfaction,Greater satisfaction,Same satisfaction,english,B.Com,moderate,Partnership Accounts
88,Liberalization means,b,Liberalization removes controls and regulations.,Free determination of interest rates,"Liberating the industry, trade and economy from unwanted restrictions",Opening up of economy to the world by attaining international competitiveness,Reducing number of reserved industries from 17 to 8,english,B.Com,moderate,Partnership Accounts
89,"When a company taken over another one and clearly becomes the new owner, the action is called",a,Acquisition implies control passes to the acquiring company.,Acquisition,Merger,Strategic Alliance,None of the above,english,B.Com,moderate,Partnership Accounts
90,By which act does the government check restrictive trade?,a,MRTP Act prevents monopolistic and restrictive trade practices.,MRTP Act,FEMA act,Industrial Policy Act 1991,None of these,english,B.Com,moderate,Partnership Accounts
91,Which among the following is not opened for private sector participation,a,Railways traditionally remain under government control.,Railways,Telecommunication sector,Education sector,Power sector,english,B.Com,moderate,Partnership Accounts
92,Which among these can be the condition for the success of privatisation?,d,All listed factors support successful privatization.,Measurability of performance,Alternative institutional arrangements,Barriers to enter the market,All of the above,english,B.Com,moderate,Partnership Accounts
93,Which among these is monopolistic trade practice?,d,This directly restricts market competition.,Manufacturing only one product,Selling only one product,Limiting technical Development,Unreasonably limiting competition,english,B.Com,moderate,Partnership Accounts
94,The Industrial policy resolution was passed first in,b,The first major Industrial Policy Resolution was in 1956.,1947,1956,1931,1999,english,B.Com,moderate,Partnership Accounts
95,Globalisation is the term used to describe process of removal of restriction on,c,Globalisation involves removal of restrictions on investment and foreign trade.,Investment,Foreign Trade,Both   A  and   B ,None of the above,english,B.Com,moderate,Partnership Accounts
96,Laissez Faire policy is adopted in,b,"Laissez-faire means minimum government interference, a feature of capitalism.",Socialist Economic system,Capitalist Economic system,Communist Economic System,Mixed Economic System,english,B.Com,moderate,Partnership Accounts
97,Which one is not the main objective of Fiscal Policy in India?,d,"Liquidity control is mainly the objective of Monetary Policy, not Fiscal Policy.",To promote employment opportunities,To minimize the inequalities of income and wealth,To promote price stability,To increase liquidity in economy,english,B.Com,moderate,Partnership Accounts
98,Purchasing goods from a foreign country is called,a,Buying goods from abroad is termed import.,Import,Entrepot,Export,Re-Export,english,B.Com,moderate,Partnership Accounts
99,Goods imported for the purpose of export is known as,c,Entrepot trade involves importing goods and re-exporting them.,Home trade,Foreign trade,Entrepot,Trade,english,B.Com,moderate,Partnership Accounts
100,Agents are appointed by?,d,An agent works on behalf of and is appointed by the principal.,Manufacturer,Wholesaler,Retailer,Principal,english,B.Com,moderate,Partnership Accounts
101,Who among these can check the price fluctuations in the market by holding back the goods when prices fall and releasing the goods when prices rise,c,Wholesalers store goods and regulate supply to stabilize prices.,Agent,Mercantile agent,Wholesaler,Retailer,english,B.Com,moderate,Partnership Accounts
102,These are agents whose function is to bring the buyer and the seller into contact.,c,Brokers do not buy or sell themselves; they only bring parties together.,Commission agent,Selling agent,Broker,Stockist,english,B.Com,moderate,Partnership Accounts
103,Who among the following appoints the agent,a,The principal authorizes and appoints the agent.,Principal,Retailer,Manufacturer,Wholesaler,english,B.Com,moderate,Partnership Accounts
104,Which among the following is not concerned with Chambers of Commerce & Industry,c,"ICICI is a bank, whereas CII, FICCI, and ASSOCHAM are chambers of commerce.",CII,FICCI,ICICI,ASSOCHAM,english,B.Com,moderate,Partnership Accounts
105,One example of Small scale Fixed retailers among these is,b,General stores operate from a fixed place and on a small scale.,Pedlars,General stores,Hawkers,Cheap Jacks,english,B.Com,moderate,Partnership Accounts
106,This retail business acts as a universal supplier of a wide variety of products.,d,Departmental stores sell a wide range of goods under one roof.,Multiple shop,Mail order Business,Tele-shopping,Departmental store,english,B.Com,moderate,Partnership Accounts
107,Investment can be defined as,d,"In economics, investment refers to additions to capital stock.",Person’s dedication to purchasing a house or flat,Use of capital on assets to receive returns,Usage of money on a production process of products and services,Net additions made to the nation’s capital stocks,english,B.Com,moderate,Partnership Accounts
108,The concept of Financial management is.,b,"Financial management deals with procurement, allocation, and control of funds.",Profit maximization,All features of obtaining and using financial resources for company operations,Organization of funds,Effective Management of every company,english,B.Com,moderate,Partnership Accounts
109,What is the primary goal of financial management?,b,Wealth maximization is the core objective.,To minimise the risk,To maximise the owner’s wealth,To maximise the return,To raise profit,english,B.Com,moderate,Partnership Accounts
110,GST is a consumption of goods and service tax based on.,d,GST is destination-based taxation.,Development,Dividend,Duration,Destination,english,B.Com,moderate,Partnership Accounts
111,The finance manager is accountable for.,d,Utilisation of funds is the key responsibility.,Earning capital assets of the company,Effective management of a fund,Arrangement of financial resources,Proper utilisation of funds,english,B.Com,moderate,Partnership Accounts
112,The market value of the shares is decided by,a,Share prices are determined by demand and supply in the market.,The investment market,The government,Shareholders,The respective companies,english,B.Com,moderate,Partnership Accounts
113,The capital budget is associated with.,c,Capital budgeting involves decisions about long-term investments.,Long terms and short terms assets,Fixed assets,Long terms assets,Short term assets,english,B.Com,moderate,Partnership Accounts
114,CAPM stands for.,a,This is the standard expansion of CAPM.,Capital asset pricing model.,Capital amount printing model.,Capital amount pricing model.,Capital asset printing model.,english,B.Com,moderate,Partnership Accounts
115,What does financial leverage measure?,c,Financial leverage shows how EPS responds to changes in EBIT.,No change with EBIT and EPS,The sensibility of EBIT with % change with respect to output,The sensibility of EPS w.r.t % change in the EBIT level,% variation in the level of production,english,B.Com,moderate,Partnership Accounts
116,From the below-mentioned items which are financial assets?,d,"Machines → Not a financial asset   it’s a physical/real asset .
Bonds → Financial asset   a financial claim .
Stocks → Financial asset   ownership claim .
So, the financial assets are Bonds and Stocks",Machines,Bonds,Stocks,B and C,english,B.Com,moderate,Partnership Accounts
